D_func-S-2-all,D_func-S-3-all,f-lig-T-1,sum-lc-T-2-all,sum-lc-alpha-0-all,sum-D_lc-S-1-all,sum-D_lc-S-2-all,sum-D_lc-S-3-all,sum-D_lc-alpha-3-all,sum-func-chi-0-all,sum-func-Z-0-all,sum-func-Z-3-all,sum-D_func-chi-1-all,sum-D_func-chi-2-all,sum-D_func-T-1-all,sum-D_func-T-3-all,sum-f-lig-I-0,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000
-0.026666667,0.12,323.3333333,158.6666667,479.32,-0.506666667,4.533333333,6.08,-26.93333333,94.6688,512.0,704.0,7.12,7.12,-16.0,-26.66666667,304,-0.554,1.237,0.00234089,-42.46693817,8.04e-06,-17.40889303,2.63093517,1.886412876
0.28,1.093333333,388.0,48.0,337.08,-0.48,-0.48,-0.96,-144.0,121.2944,1536.0,3328.0,0.24,14.72,8.0,0.0,348,-0.51,1.207,0.0278681,-49.12696527,5.37e-05,-22.33226344,3.523681641,3.450494172
1.0,2.46,150.0,32.0,224.72,-0.32,-0.32,-2.64,-160.8,53.2512,2048.0,4352.0,0.48,0.96,-16.0,48.0,104,-0.568,1.853,0.00577495,-40.67752709,1.29e-05,-15.16303302,4.322614253,2.725157426
0.308571429,0.322857143,609.7142857,372.0,1733.06,-2.24,21.04,27.24,-399.0,73.9328,392.0,672.0,23.52,63.84,0.0,232.0,1032,-0.989,1.139,0.000438933,-33.84181695,9.3e-06,-14.77734135,3.411994765,3.626200017
0.0,-0.008,156.8,352.0,1550.32,-1.386666667,0.853333333,11.25333333,-187.4666667,147.8656,784.0,1456.0,34.72,0.0,64.0,16.0,544,-0.536,1.225,0.000214303,-31.99728469,6.27e-06,-13.51358031,1.452815721,2.178967605
0.72,0.73,416.0,112.0,438.08,-0.32,6.08,-0.16,-31.2,73.9328,392.0,616.0,5.88,21.28,-8.0,16.0,240,-0.243,0.85,2.49e-05,-18.18246626,7.29e-06,-11.32191855,0.381835193,3.786922425
-0.013333333,-0.026666667,192.0,48.0,337.08,-0.48,-0.48,-0.96,-144.0,47.3344,256.0,384.0,3.56,3.56,-8.0,-16.0,192,-0.497,1.24,8.51e-05,-22.13390813,2.57e-05,-17.52902353,1.097190635,4.017871841
0.568,0.392,346.0,53.33333333,193.79,0.04,1.573333333,2.16,-16.53333333,53.984,290.0,506.0,5.61,11.35,-8.0,-11.0,126,-0.482,1.111,2.81e-05,-27.62332195,3.69e-06,-19.59750713,0.33647153,0.73124817
0.288,0.716,640.0,45.33333333,147.92,-0.16,1.813333333,1.706666667,-32.53333333,49.59808,259.2,724.8,5.352,12.176,-6.4,4.0,172,-0.577,1.243,3.44e-05,-26.20070718,9.36e-06,-20.76066658,0.377838534,0.824959796
0.0,0.0,184.0,82.66666667,387.58,-0.293333333,-0.4,0.373333333,-95.46666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,-0.52,1.168,0.000313066,-31.3720771,3.2e-05,-22.0144869,2.19241775,3.653110678
0.08,-0.022857143,204.0,84.0,328.56,-0.12,-0.12,-0.12,-23.4,55.4496,294.0,456.0,1.56,5.64,0.0,-5.142857143,96,-0.247,1.185,8.95e-06,-15.27944737,3.96e-06,-11.546537,0.133159313,1.666491299
-0.016666667,0.156666667,224.6666667,52.0,221.88,-0.24,1.28,3.82,-16.7,21.0752,113.0,341.0,2.71,2.36,0.0,-1.0,108,-0.499,0.919,4.8e-05,-26.63876787,1.66e-05,-21.48671801,0.504583091,1.250501709
0.62,3.35,324.0,76.0,251.39,-1.7,-0.22,-1.2,-163.5,38.3688,1800.0,3960.0,-32.88,-12.88,72.0,152.0,192,-0.497,1.127,0.000228662,-30.61666161,2.44e-05,-21.27291725,2.680563874,2.492391407
0.0,0.0,540.0,26.57777778,187.6133333,-0.069333333,-0.129777778,0.344888889,-28.65777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,-0.545,1.973,0.00071902,-35.30483345,3.41e-05,-17.89952224,3.114961324,4.464422579
0.34,0.34,468.0,128.0,438.08,-0.32,5.92,2.88,-8.0,73.9328,392.0,728.0,14.56,14.56,16.0,16.0,264,-0.259,1.172,0.000121276,-22.38706822,2.85e-05,-16.38547636,1.709837679,8.103970641
0.0,0.0,731.2,27.0,140.45,-0.2,-0.2,-0.44,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,-0.687,2.155,0.0175108,-48.23565197,7.81e-05,-23.25740048,3.531439664,3.083361856
-0.04,-0.08,564.0,32.0,224.72,-0.32,-0.32,-0.64,-96.0,94.6688,512.0,768.0,7.12,7.12,-16.0,-32.0,336,-0.514,1.239,0.00021527,-26.55572407,3.08e-05,-16.94293492,2.489862756,5.829143328
-0.04,-0.08,216.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,47.3344,256.0,384.0,3.56,3.56,-8.0,-16.0,72,-0.667,2.006,0.000169536,-26.35449931,5.36e-05,-21.63844504,1.337463857,2.252560811
-0.04,0.32,240.0,16.66666667,117.47,-0.08,-0.106666667,-0.073333333,-28.43333333,27.7248,147.0,399.0,6.51,2.94,12.0,6.0,60,-0.518,1.715,0.00517204,-40.93046711,1.54e-05,-14.76242106,4.487328454,4.196809991
0.0,0.0,1132.0,12.0,84.27,-0.12,-0.12,-0.24,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-0.553,0.903,0.000260637,-26.31625653,4.86e-05,-19.65585803,1.798277309,6.863442526
1.44,0.64,656.0,8.0,56.18,-0.08,-0.08,-0.16,-24.0,18.4832,98.0,532.0,2.94,10.64,-4.0,8.0,96,-0.418,0.9,0.000164143,-25.22984391,2.46e-05,-17.73912436,2.065272751,5.402061118
0.6,0.54,784.0,32.0,109.52,-0.08,1.44,0.76,2.2,23.6672,128.0,528.0,3.56,10.3,-6.0,-10.0,114,-0.258,0.837,0.000138543,-23.77959586,2.28e-05,-16.82875675,2.138354828,6.673218809
1.135,0.856666667,429.0,80.0,331.4,-0.32,2.72,2.64,-40.4,80.84933333,580.0,1113.333333,8.766666667,29.04666667,-2.0,36.0,240,-0.445,1.219,2.22e-05,-33.21991042,1.73e-05,-27.64205639,0.294655409,1.517100947
0.0,0.0,829.5,64.0,449.44,-0.64,-0.64,-1.28,-192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004,-1.057,1.237,0.000676546,-35.64669256,1.28e-05,-15.14877622,2.503212355,3.893492675
0.0,0.0,68.0,240.0,1095.2,-0.533333333,9.866666667,5.066666667,38.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,-0.69,1.201,0.00964184,-49.1068333,1.07e-05,-23.86852358,1.381435945,1.149906058
0.0,0.0,126.0,88.0,331.4,-0.32,2.56,5.52,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,-0.549,0.551,9.82e-06,-27.27999877,1.1e-05,-24.67071947,0.134515135,1.890786535
